
                             RF1_thick_desl_1e  RF1_thick_desl_1e  U1_thick_desl_1e4
                  X               4_aplic            4_apoio             _aplic     

              365.002E-03        215.835           -215.824              9.165E-03  
              366.253E-03        217.518           -217.507              9.2365E-03 
              367.501E-03        219.201           -219.191              9.30798E-03
              368.752E-03        220.894           -220.883              9.37987E-03
              370.003E-03        222.591           -222.58               9.45197E-03
              371.251E-03        224.289           -224.278              9.52409E-03
              372.502E-03        225.995           -225.985              9.59664E-03
              373.753E-03        227.707           -227.696              9.6693E-03 
              375.E-03           229.418           -229.408              9.74203E-03
              376.251E-03        231.139           -231.129              9.81505E-03
              377.502E-03        232.863           -232.854              9.88841E-03
              378.75E-03         234.589           -234.579              9.96161E-03
              380.001E-03        236.323           -236.313             10.0353E-03 
              381.252E-03        238.061           -238.052             10.1091E-03 
              382.503E-03        239.804           -239.794             10.1832E-03 
              383.751E-03        241.547           -241.537             10.2572E-03 
              385.002E-03        243.298           -243.289             10.3316E-03 
              386.253E-03        245.054           -245.044             10.4061E-03 
              387.501E-03        246.809           -246.8               10.4808E-03 
              388.752E-03        248.573           -248.564             10.5557E-03 
              390.003E-03        250.341           -250.332             10.6308E-03 
              391.25E-03         252.109           -252.1               10.7059E-03 
              392.501E-03        253.886           -253.877             10.7814E-03 
              393.752E-03        255.666           -255.657             10.857E-03  
              395.E-03           257.446           -257.437             10.9326E-03 
              396.251E-03        259.234           -259.226             11.0086E-03 
              397.502E-03        261.026           -261.018             11.0847E-03 
              398.75E-03         262.818           -262.809             11.1608E-03 
              400.001E-03        264.617           -264.609             11.2372E-03 
              401.252E-03        266.421           -266.413             11.3139E-03 
              402.503E-03        268.228           -268.22              11.3906E-03 
              403.751E-03        270.034           -270.026             11.4674E-03 
              405.002E-03        271.849           -271.841             11.5445E-03 
              406.253E-03        273.667           -273.659             11.6216E-03 
              407.501E-03        275.484           -275.476             11.6989E-03 
              408.752E-03        277.309           -277.301             11.7763E-03 
              410.003E-03        279.138           -279.13              11.8541E-03 
              411.25E-03         280.965           -280.957             11.9317E-03 
              412.501E-03        282.8             -282.793             12.0096E-03 
              413.752E-03        284.639           -284.632             12.0878E-03 
              415.E-03           286.476           -286.469             12.1658E-03 
              416.251E-03        288.321           -288.314             12.2442E-03 
              417.502E-03        290.169           -290.163             12.3227E-03 
              418.753E-03        292.021           -292.015             12.4013E-03 
              420.001E-03        293.871           -293.864             12.4799E-03 
              421.252E-03        295.729           -295.722             12.5589E-03 
