
                             RF1_thick_forca_1  U1_thick_ forca_1
                  X               e5_apoio           e5_aplic    

              690.004E-03        666.798            -29.0828E-03 
              691.256E-03        668.186            -29.1435E-03 
              692.508E-03        669.568            -29.2039E-03 
              693.76E-03         670.944            -29.2641E-03 
              695.001E-03        672.303            -29.3235E-03 
              696.253E-03        673.667            -29.3831E-03 
              697.505E-03        675.025            -29.4425E-03 
              698.756E-03        676.377            -29.5016E-03 
              700.008E-03        677.722            -29.5604E-03 
              701.26E-03         679.061            -29.6189E-03 
              702.501E-03        680.383            -29.6767E-03 
              703.753E-03        681.708            -29.7346E-03 
              705.005E-03        683.027            -29.7923E-03 
              706.257E-03        684.339            -29.8497E-03 
              707.508E-03        685.644            -29.9067E-03 
              708.76E-03         686.941            -29.9635E-03 
              710.002E-03        688.222            -30.0195E-03 
              711.253E-03        689.507            -30.0757E-03 
              712.505E-03        690.785            -30.1316E-03 
              713.757E-03        692.056            -30.1872E-03 
              715.008E-03        693.319            -30.2425E-03 
              716.25E-03         694.566            -30.2971E-03 
              717.502E-03        695.817            -30.3518E-03 
              718.753E-03        697.061            -30.4063E-03 
              720.005E-03        698.298            -30.4604E-03 
              721.257E-03        699.529            -30.5143E-03 
              722.509E-03        700.754            -30.5679E-03 
              723.75E-03         701.962            -30.6208E-03 
              725.002E-03        703.174            -30.6738E-03 
              726.254E-03        704.38             -30.7265E-03 
              727.505E-03        705.579            -30.7789E-03 
              728.757E-03        706.771            -30.8311E-03 
              730.009E-03        707.957            -30.8829E-03 
              731.25E-03         709.126            -30.934E-03  
              732.502E-03        710.298            -30.9853E-03 
              733.754E-03        711.463            -31.0363E-03 
              735.005E-03        712.621            -31.0869E-03 
              736.257E-03        713.772            -31.1372E-03 
              737.509E-03        714.915            -31.1872E-03 
              738.751E-03        716.042            -31.2365E-03 
              740.002E-03        717.171            -31.2859E-03 
              741.254E-03        718.292            -31.335E-03  
              742.506E-03        719.406            -31.3838E-03 
              743.757E-03        720.513            -31.4322E-03 
              745.009E-03        721.612            -31.4803E-03 
              746.251E-03        722.695            -31.5277E-03 
              747.502E-03        723.78             -31.5752E-03 
              748.754E-03        724.857            -31.6224E-03 
              750.006E-03        725.927            -31.6693E-03 
              751.258E-03        726.991            -31.7159E-03 
              752.509E-03        728.047            -31.7621E-03 
              753.751E-03        729.088            -31.8077E-03 
              755.003E-03        730.131            -31.8534E-03 
              756.254E-03        731.167            -31.8987E-03 
              757.506E-03        732.196            -31.9437E-03 
              758.758E-03        733.219            -31.9885E-03 
              760.009E-03        734.234            -32.0329E-03 
              761.251E-03        735.234            -32.0767E-03 
              762.503E-03        736.236            -32.1205E-03 
              763.755E-03        737.23             -32.164E-03  
              765.006E-03        738.217            -32.2072E-03 
              766.258E-03        739.197            -32.2501E-03 
              767.51E-03         740.17             -32.2927E-03 
              768.751E-03        741.128            -32.3346E-03 
              770.003E-03        742.086            -32.3765E-03 
              771.255E-03        743.036            -32.4181E-03 
              772.506E-03        743.978            -32.4593E-03 
              773.758E-03        744.913            -32.5003E-03 
              775.01E-03         745.84             -32.5409E-03 
              776.251E-03        746.752            -32.5808E-03 
              777.503E-03        747.664            -32.6208E-03 
              778.755E-03        748.568            -32.6604E-03 
