
                             RF1_thin_desl_1e5  RF1_thin_desl_1e5  U1_thin_desl_1e5_
                  X                _aplic             _apoio             aplic      

              315.01E-03         149.992           -149.887              4.93235E-03
              316.25E-03         151.408           -151.303              4.97899E-03
              317.502E-03        152.844           -152.739              5.02625E-03
              318.754E-03        154.285           -154.181              5.07372E-03
              320.006E-03        155.732           -155.629              5.12138E-03
              321.257E-03        157.185           -157.083              5.16924E-03
              322.509E-03        158.643           -158.544              5.21729E-03
              323.761E-03        160.108           -160.01               5.26554E-03
              325.001E-03        161.566           -161.468              5.31355E-03
              326.253E-03        163.043           -162.945              5.36219E-03
              327.505E-03        164.526           -164.428              5.41103E-03
              328.756E-03        166.015           -165.917              5.46005E-03
              330.008E-03        167.51            -167.411              5.50926E-03
              331.26E-03         169.01            -168.911              5.55867E-03
              332.5E-03          170.503           -170.404              5.60782E-03
              333.752E-03        172.014           -171.916              5.65759E-03
              335.004E-03        173.531           -173.435              5.70756E-03
              336.255E-03        175.053           -174.958              5.75771E-03
              337.507E-03        176.581           -176.488              5.80805E-03
              338.759E-03        178.114           -178.022              5.85857E-03
              340.01E-03         179.654           -179.562              5.90927E-03
              341.251E-03        181.185           -181.094              5.95969E-03
              342.503E-03        182.736           -182.644              6.01076E-03
              343.754E-03        184.293           -184.2                6.062E-03  
              345.006E-03        185.854           -185.761              6.11341E-03
              346.258E-03        187.421           -187.328              6.16502E-03
              347.509E-03        188.992           -188.9                6.21678E-03
              348.761E-03        190.569           -190.479              6.26873E-03
              350.002E-03        192.137           -192.048              6.32038E-03
              351.253E-03        193.724           -193.637              6.37267E-03
              352.505E-03        195.316           -195.231              6.42514E-03
              353.757E-03        196.914           -196.829              6.47777E-03
              355.008E-03        198.517           -198.433              6.53056E-03
              356.26E-03         200.126           -200.041              6.58353E-03
              357.501E-03        201.725           -201.64               6.63619E-03
              358.752E-03        203.344           -203.258              6.68949E-03
              360.004E-03        204.967           -204.881              6.74295E-03
              361.256E-03        206.595           -206.51               6.79658E-03
              362.507E-03        208.228           -208.143              6.85036E-03
              363.759E-03        209.865           -209.782              6.9043E-03 
              365.011E-03        211.508           -211.426              6.95841E-03
              366.251E-03        213.14            -213.06               7.01219E-03
              367.503E-03        214.791           -214.713              7.06661E-03
              368.755E-03        216.448           -216.371              7.12119E-03
              370.006E-03        218.11            -218.032              7.17592E-03
              371.258E-03        219.776           -219.699              7.2308E-03 
              372.51E-03         221.448           -221.37               7.28583E-03
              373.75E-03         223.109           -223.03               7.34051E-03
              375.002E-03        224.788           -224.71               7.39585E-03
              376.254E-03        226.473           -226.395              7.45134E-03
              377.505E-03        228.161           -228.085              7.50696E-03
              378.757E-03        229.854           -229.779              7.56272E-03
              380.009E-03        231.551           -231.478              7.61865E-03
              381.261E-03        233.252           -233.181              7.6747E-03 
              382.501E-03        234.942           -234.872              7.73041E-03
              383.753E-03        236.653           -236.583              7.78675E-03
              385.004E-03        238.367           -238.298              7.84321E-03
              386.256E-03        240.087           -240.017              7.89982E-03
              387.508E-03        241.81            -241.74               7.95658E-03
              388.76E-03         243.537           -243.467              8.01347E-03
              390.E-03           245.253           -245.183              8.06998E-03
