
                             RF1_forca_1e6_Pre  U1_forca_1e6_Puxa
                  X                ndeSet              Set       

              722.52E-03           1.21437E+03      -47.6433E-03 
              723.764E-03          1.21641E+03      -47.7244E-03 
              725.008E-03          1.21844E+03      -47.805E-03  
              726.253E-03          1.22045E+03      -47.885E-03  
              727.522E-03          1.22249E+03      -47.966E-03  
              728.766E-03          1.22448E+03      -48.045E-03  
              730.01E-03           1.22644E+03      -48.1233E-03 
              731.255E-03          1.2284E+03       -48.2012E-03 
              732.524E-03          1.23037E+03      -48.2801E-03 
              733.768E-03          1.2323E+03       -48.3568E-03 
              735.013E-03          1.23421E+03      -48.4331E-03 
              736.257E-03          1.2361E+03       -48.5088E-03 
              737.501E-03          1.23799E+03      -48.584E-03  
              738.771E-03          1.2399E+03       -48.6603E-03 
              740.015E-03          1.24175E+03      -48.7344E-03 
              741.259E-03          1.24359E+03      -48.8081E-03 
              742.503E-03          1.24542E+03      -48.8813E-03 
              743.773E-03          1.24728E+03      -48.9554E-03 
              745.017E-03          1.24908E+03      -49.0276E-03 
              746.261E-03          1.25088E+03      -49.0992E-03 
              747.505E-03          1.25266E+03      -49.1704E-03 
              748.775E-03          1.25447E+03      -49.2425E-03 
              750.019E-03          1.25622E+03      -49.3127E-03 
