
                             RF1_desl_1e6_Pren  RF1_desl_1e6_Puxa  U1_desl_1e6_PuxaS
                  X                deSet               Set                 et       

              573.751E-03        894.195           -891.924            -35.0675E-03 
              575.02E-03         897.446           -895.063            -35.1928E-03 
              576.265E-03        900.63            -898.133            -35.3155E-03 
              577.509E-03        903.81            -901.197            -35.4383E-03 
              578.753E-03        906.987           -904.256            -35.5606E-03 
              580.022E-03        910.223           -907.372            -35.6853E-03 
              581.267E-03        913.388           -910.421            -35.8073E-03 
              582.511E-03        916.547           -913.466            -35.9288E-03 
              583.755E-03        919.698           -916.505            -36.0506E-03 
              585.025E-03        922.906           -919.602            -36.1745E-03 
              586.269E-03        926.041           -922.631            -36.2956E-03 
              587.513E-03        929.165           -925.655            -36.4163E-03 
              588.757E-03        932.28            -928.674            -36.5372E-03 
              590.001E-03        935.386           -931.688            -36.6574E-03 
              591.271E-03        938.546           -934.757            -36.7803E-03 
              592.515E-03        941.632           -937.762            -36.9005E-03 
              593.759E-03        944.71            -940.761            -37.02E-03   
              595.003E-03        947.778           -943.758            -37.1398E-03 
              596.273E-03        950.9             -946.811            -37.2613E-03 
              597.517E-03        953.951           -949.799            -37.3805E-03 
              598.761E-03        956.992           -952.784            -37.4994E-03 
              600.006E-03        960.026           -955.766            -37.6179E-03 
              601.275E-03        963.112           -958.804            -37.7388E-03 
              602.519E-03        966.128           -961.779            -37.857E-03  
              603.764E-03        969.136           -964.752            -37.9746E-03 
              605.008E-03        972.137           -967.723            -38.0924E-03 
              606.252E-03        975.128           -970.693            -38.2098E-03 
              607.522E-03        978.172           -973.722            -38.3291E-03 
              608.766E-03        981.147           -976.688            -38.4462E-03 
              610.01E-03         984.113           -979.653            -38.5627E-03 
              611.254E-03        987.069           -982.616            -38.6789E-03 
              612.524E-03        990.075           -985.636            -38.7973E-03 
              613.768E-03        993.013           -988.592            -38.9128E-03 
              615.012E-03        995.942           -991.544            -39.0284E-03 
              616.256E-03        998.861           -994.491            -39.1436E-03 
              617.5E-03            1.00177E+03     -997.434            -39.2587E-03 
              618.77E-03           1.00473E+03       -1.00043E+03      -39.3754E-03 
